job_title,required_skills,salary_usd,experience_level,industry,salary_bucket
ai research scientist,"tableau, pytorch, kubernetes, linux, nlp",90376.0,Se,Automotive,50–100K
ai software engineer,"deep learning, aws, mathematics, python, docker",61895.0,En,Media,50–100K
ai specialist,"kubernetes, deep learning, java, hadoop, nlp",152626.0,Mi,Education,150–200K
nlp engineer,"scala, sql, linux, python",80215.0,Se,Consulting,50–100K
ai consultant,"mlops, java, tableau, python",54624.0,En,Media,50–100K
ai architect,"data visualization, r, sql, linux",123574.0,Se,Healthcare,100–150K
principal data scientist,"r, docker, mlops",79670.0,Mi,Gaming,50–100K
nlp engineer,"python, sql, computer vision, java, azure",70640.0,En,Healthcare,50–100K
data analyst,"hadoop, git, mathematics, python",160710.0,Se,Government,150–200K
ai software engineer,"mlops, gcp, scala, azure, linux",102557.0,Se,Government,100–150K
autonomous systems engineer,"mlops, python, sql",102322.0,Se,Telecommunications,100–150K
ai architect,"r, data visualization, python, azure",115047.0,Ex,Manufacturing,100–150K
ai consultant,"tableau, python, tensorflow",124355.0,Se,Automotive,100–150K
autonomous systems engineer,"scala, sql, statistics",68760.0,En,Energy,50–100K
ai research scientist,"pytorch, python, data visualization, gcp",150122.0,Se,Technology,150–200K
ai product manager,"linux, statistics, deep learning",78846.0,En,Consulting,50–100K
principal data scientist,"tableau, nlp, spark",59823.0,En,Real Estate,50–100K
machine learning engineer,"mlops, pytorch, azure",181139.0,Ex,Real Estate,150–200K
data engineer,"git, hadoop, r, python, spark",155300.0,Se,Finance,150–200K
research scientist,"java, scala, nlp, docker, computer vision",93851.0,Mi,Transportation,50–100K
data engineer,"deep learning, aws, azure",134197.0,Mi,Telecommunications,100–150K
autonomous systems engineer,"tableau, spark, nlp, tensorflow, pytorch",102550.0,Mi,Automotive,100–150K
ml ops engineer,"hadoop, git, tableau",99382.0,Se,Automotive,50–100K
ai product manager,"git, hadoop, docker",52167.0,Mi,Telecommunications,50–100K
ml ops engineer,"aws, azure, git, sql, computer vision",53923.0,Mi,Healthcare,50–100K
robotics engineer,"linux, git, tableau, kubernetes, data visualization",109779.0,Se,Government,100–150K
ml ops engineer,"hadoop, linux, git, scala",80979.0,Mi,Media,50–100K
data analyst,"mathematics, kubernetes, tensorflow, tableau, pytorch",52997.0,Mi,Government,50–100K
head of ai,"python, scala, nlp, mathematics, git",42819.0,En,Healthcare,<50K
ml ops engineer,"azure, python, computer vision, kubernetes, tensorflow",82083.0,Mi,Retail,50–100K
head of ai,"deep learning, gcp, aws, linux, tableau",67488.0,En,Retail,50–100K
research scientist,"azure, python, spark",68624.0,En,Real Estate,50–100K
robotics engineer,"nlp, scala, python",146852.0,Se,Real Estate,100–150K
ml ops engineer,"tableau, azure, gcp, linux, python",178183.0,Ex,Education,150–200K
deep learning engineer,"r, gcp, mlops, linux",150864.0,Se,Consulting,150–200K
head of ai,"git, hadoop, data visualization",126942.0,Ex,Finance,100–150K
ai architect,"data visualization, tableau, aws, mathematics, python",53752.0,Mi,Telecommunications,50–100K
robotics engineer,"linux, pytorch, sql, statistics",111381.0,Ex,Government,100–150K
ai specialist,"tableau, docker, gcp",41430.0,En,Healthcare,<50K
data engineer,"computer vision, azure, tableau",166080.0,Ex,Government,150–200K
data scientist,"data visualization, azure, spark, mlops",96956.0,Mi,Telecommunications,50–100K
ai architect,"java, mathematics, sql",196954.0,Se,Finance,150–200K
ai specialist,"spark, mathematics, gcp",56745.0,En,Telecommunications,50–100K
machine learning researcher,"hadoop, docker, python, azure",113455.0,Se,Retail,100–150K
